"item_fr01";"item_fr03a";"item_fr05a";"item_fr06";"item_fr02";"item_fr04a";"item_fn02";"item_abtreib1";"item_abtreib2";"item_abtreib3";"item_abtreib4";"item_sterbe";"item_hasch";"item_homo";"item_iw05";"item_iw02";"item_iw06";"item_iw07";"item_im19";"item_im20";"item_im21";"item_mi02";"item_mi04";"item_ma01";"item_ma04";"item_ma02";"item_ma03"
"item_iw02";" 0.02145";" 0.11961";" 0.05830";" 0.10899";" 0.12568";" 0.14254";" 0.08446";"      NA";"      NA";"      NA";"      NA";"      NA";"      NA";"      NA";" 0.19796";" 1.00000";" 0.24523";" 0.20679";" 0.24376";" 0.27644";" 0.25647";"      NA";"      NA";" 0.07803";" 0.04612";" 0.01905";" 0.05796"
"item_iw06";" 0.06836";" 0.10672";" 0.12574";" 0.07242";" 0.15244";" 0.13356";" 0.06566";"      NA";"      NA";"      NA";"      NA";"      NA";"      NA";"      NA";" 0.18656";" 0.24523";" 1.00000";" 0.32400";" 0.13729";" 0.23482";" 0.46545";"      NA";"      NA";"-0.03099";"-0.04556";"-0.04178";"-0.02712"
"item_iw07";" 0.03068";" 0.11076";" 0.09968";" 0.10159";" 0.16367";" 0.14459";" 0.03759";"      NA";"      NA";"      NA";"      NA";"      NA";"      NA";"      NA";" 0.21300";" 0.20679";" 0.32400";" 1.00000";" 0.19659";" 0.25243";" 0.29799";"      NA";"      NA";" 0.05989";" 0.02671";"-0.01405";" 0.08016"
"item_im19";" 0.05140";" 0.17629";" 0.08067";" 0.15845";" 0.18165";" 0.18741";" 0.10121";" 0.06960";" 0.08652";" 0.04801";" 0.08006";" 0.04347";" 0.08741";" 0.15944";" 0.23740";" 0.24376";" 0.13729";" 0.19659";" 1.00000";" 0.46369";" 0.29986";" 0.08493";" 0.04968";" 0.13436";" 0.02307";" 0.03970";" 0.07076"
"item_im20";" 0.06625";" 0.16918";" 0.08560";" 0.17738";" 0.20771";" 0.21022";" 0.10742";" 0.04799";" 0.07354";" 0.04566";" 0.10205";" 0.08230";" 0.12190";" 0.15921";" 0.24614";" 0.27644";" 0.23482";" 0.25243";" 0.46369";" 1.00000";" 0.45154";" 0.09201";" 0.04414";" 0.14523";" 0.02329";" 0.02347";" 0.06441"
"item_im21";" 0.13011";" 0.17352";" 0.15647";" 0.12600";" 0.17033";" 0.19414";" 0.10970";" 0.11061";" 0.12222";" 0.02604";" 0.11569";" 0.09521";" 0.01152";" 0.11837";" 0.21084";" 0.25647";" 0.46545";" 0.29799";" 0.29986";" 0.45154";" 1.00000";" 0.02012";"-0.09078";"-0.00539";"-0.03842";"-0.06587";" 0.00768"
"item_mi02";" 0.07792";" 0.11155";" 0.11232";" 0.18558";" 0.18403";" 0.20232";" 0.08508";" 0.05299";" 0.00817";" 0.05026";" 0.07784";" 0.01393";" 0.17994";" 0.13392";"      NA";"      NA";"      NA";"      NA";" 0.08493";" 0.09201";" 0.02012";" 1.00000";" 0.44320";" 0.22833";" 0.13124";" 0.23249";" 0.22168"
"item_mi04";" 0.02711";" 0.09281";" 0.07511";" 0.16559";" 0.15437";" 0.15226";" 0.06479";" 0.00838";"-0.01939";" 0.05390";" 0.05284";" 0.07092";" 0.20263";" 0.10957";"      NA";"      NA";"      NA";"      NA";" 0.04968";" 0.04414";"-0.09078";" 0.44320";" 1.00000";" 0.21897";" 0.12736";" 0.24671";" 0.23800"
"item_ma01";" 0.03331";" 0.07973";" 0.03464";" 0.15051";" 0.17390";" 0.17358";" 0.11572";" 0.02350";" 0.01877";" 0.03440";" 0.05065";" 0.01143";" 0.25076";" 0.23047";" 0.07923";" 0.07803";"-0.03099";" 0.05989";" 0.13436";" 0.14523";"-0.00539";" 0.22833";" 0.21897";" 1.00000";" 0.10452";" 0.20261";" 0.19918"
"item_ma04";" 0.00769";" 0.05251";" 0.01544";" 0.08968";" 0.09447";" 0.08225";" 0.03748";"-0.00825";"-0.02136";"-0.01387";"-0.00654";" 0.03770";" 0.07532";" 0.09249";" 0.01885";" 0.04612";"-0.04556";" 0.02671";" 0.02307";" 0.02329";"-0.03842";" 0.13124";" 0.12736";" 0.10452";" 1.00000";" 0.25139";" 0.25444"
"item_ma02";" 0.01011";" 0.05996";" 0.01450";" 0.11043";" 0.11841";" 0.10726";" 0.03418";"-0.04212";"-0.07397";"-0.04689";"-0.02064";" 0.00508";" 0.13173";" 0.14802";" 0.01206";" 0.01905";"-0.04178";"-0.01405";" 0.03970";" 0.02347";"-0.06587";" 0.23249";" 0.24671";" 0.20261";" 0.25139";" 1.00000";" 0.33353"
"item_ma03";" 0.04096";" 0.10669";" 0.05521";" 0.13877";" 0.13147";" 0.13635";" 0.05172";"-0.01279";"-0.01837";"-0.00024";" 0.00200";"-0.00666";" 0.09245";" 0.11205";" 0.06639";" 0.05796";"-0.02712";" 0.08016";" 0.07076";" 0.06441";" 0.00768";" 0.22168";" 0.23800";" 0.19918";" 0.25444";" 0.33353";" 1.00000"
